CandidateDonations2023Test_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
457,Bryce Edwards,d23,Naomi,Maclean,,Southland,Vision New Zealand,$0.00,$398.84,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$398.84,$0.00,$0.00,No,Submitted,21/05/2024 3:33 AM,21/05/2024 3:33 AM,21/05/2024 3:33 AM
456,Bryce Edwards,d23,Patrick,Lim,,Ōhāriu,Vision New Zealand,$0.00,$820.32,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$145.28,$675.04,$0.00,$0.00,No,Submitted,21/05/2024 3:30 AM,21/05/2024 3:30 AM,21/05/2024 3:30 AM
455,Bryce Edwards,d23,Meg,Lim,,Wellington Central,Vision New Zealand,"$1,895.81","$1,706.23","$1,895.81","$1,895.81",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,706.23",$0.00,$0.00,No,Submitted,21/05/2024 3:29 AM,21/05/2024 3:29 AM,21/05/2024 3:29 AM
454,Bryce Edwards,d23,Charles,Hunia,,Waiariki,Vision New Zealand,$0.00,$894.23,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$894.23,$0.00,$0.00,No,Submitted,21/05/2024 3:25 AM,21/05/2024 3:25 AM,21/05/2024 3:25 AM
453,Bryce Edwards,d23,Kathy,Harvey,,Papakura,Vision New Zealand,$0.00,"$1,106.84",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,106.84",$0.00,$0.00,No,Submitted,21/05/2024 3:24 AM,21/05/2024 3:24 AM,21/05/2024 3:24 AM
452,Bryce Edwards,d23,Rudi,Du Plooy,,Hamilton West,Vision New Zealand,"$5,794.23","$5,353.89","$5,794.23","$5,794.23",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$5,353.89",$0.00,$0.00,No,Submitted,21/05/2024 3:23 AM,21/05/2024 3:23 AM,21/05/2024 3:23 AM
451,Bryce Edwards,d23,Lois,Dornan,,Waikato,Vision New Zealand,$0.00,$741.02,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$741.02,$0.00,$0.00,No,Submitted,21/05/2024 3:19 AM,21/05/2024 3:19 AM,21/05/2024 3:19 AM
450,Bryce Edwards,d23,Mark,Donaldson,,Northcote,Vision New Zealand,"$12,274.35","$7,913.68","$12,274.35","$12,274.35",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$7,913.68",$0.00,$0.00,No,Submitted,21/05/2024 3:17 AM,21/05/2024 3:17 AM,21/05/2024 3:17 AM
449,Bryce Edwards,d23,Fuiavailili,Ala'ilima,,Māngere,Vision New Zealand,$0.00,"$2,442.27",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$805.00,"$1,637.27",$0.00,$0.00,No,Submitted,21/05/2024 3:11 AM,21/05/2024 3:11 AM,21/05/2024 3:11 AM
448,Bryce Edwards,d23,Ben,Wylie-van Eerd,,Hutt South,National Party,"$5,065.09","$1,747.86","$5,065.09","$5,065.09",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,747.86",$0.00,$0.00,No,Submitted,21/05/2024 2:54 AM,21/05/2024 2:54 AM,21/05/2024 2:54 AM
447,Bryce Edwards,d23,Damian,Sycamore,,Auckland Central,The Opportunities Party,$0.00,$98.47,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$98.47,$0.00,$0.00,No,Submitted,21/05/2024 2:50 AM,21/05/2024 2:50 AM,21/05/2024 2:50 AM
446,Bryce Edwards,d23,Ciara,Swords,,Mt Albert,The Opportunities Party,$0.00,"$1,503.51",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,503.51",$0.00,$0.00,No,Submitted,21/05/2024 2:48 AM,21/05/2024 2:48 AM,21/05/2024 2:48 AM
445,Bryce Edwards,d23,Nina,Su,,Epsom,The Opportunities Party,$0.00,"$1,544.77",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,544.77",$0.00,$0.00,No,Submitted,21/05/2024 2:47 AM,21/05/2024 2:47 AM,21/05/2024 2:47 AM
444,Bryce Edwards,d23,Naomi,Pocock,,Hamilton West,The Opportunities Party,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,21/05/2024 2:46 AM,21/05/2024 2:46 AM,21/05/2024 2:46 AM
443,Bryce Edwards,d23,Ben,Peters,,Dunedin,The Opportunities Party,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,21/05/2024 2:45 AM,21/05/2024 2:45 AM,21/05/2024 2:45 AM
442,Bryce Edwards,d23,Megan,Owen,,Waikato,The Opportunities Party,$0.00,$146.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$146.00,$0.00,$0.00,No,Submitted,21/05/2024 2:45 AM,21/05/2024 2:45 AM,21/05/2024 2:45 AM
441,Bryce Edwards,d23,Shai,Navot,,Upper Harbour,The Opportunities Party,$0.00,$912.47,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$912.47,$0.00,$0.00,No,Submitted,21/05/2024 2:43 AM,21/05/2024 2:43 AM,21/05/2024 2:43 AM
440,Bryce Edwards,d23,Raf,Manji,,Ilam,The Opportunities Party,"$17,050.40","$32,372.86","$17,050.40","$17,050.40",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$20,952.33","$11,420.53",$0.00,$0.00,No,Submitted,21/05/2024 2:42 AM,21/05/2024 2:42 AM,21/05/2024 2:42 AM
